mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
p374_150_p265_081,374.0,M,265.0,F
p274_440_p255_110,274.0,M,255.0,M
p277_105_p362_044,277.0,F,362.0,F
p362_409_p263_012,362.0,F,263.0,M
p310_007_p306_118,310.0,F,306.0,F
p254_007_p329_232,254.0,M,329.0,F
p258_138_p269_092,258.0,M,269.0,F
p276_331_p248_286,276.0,F,248.0,F
p293_256_p238_396,293.0,F,238.0,F
p254_150_p314_199,254.0,M,314.0,F
p240_359_p308_309,240.0,F,308.0,F
p249_279_p285_003,249.0,F,285.0,M
p249_330_p247_098,249.0,F,247.0,M
p364_114_p261_097,364.0,M,261.0,F
p316_332_p303_310,316.0,M,303.0,F
p292_027_p297_320,292.0,M,297.0,F
p228_023_p234_179,228.0,F,234.0,F
p376_093_p279_406,376.0,M,279.0,M
p301_081_p252_009,301.0,F,252.0,M
p307_093_p238_142,307.0,F,238.0,F
p274_447_p301_203,274.0,M,301.0,F
p330_418_p228_175,330.0,F,228.0,F
p262_030_p281_060,262.0,F,281.0,M
p287_024_p274_022,287.0,M,274.0,M
p315_018_p308_018,315.0,M,308.0,F
p301_353_p285_223,301.0,F,285.0,M
p351_004_p295_008,351.0,F,295.0,F
p272_341_p238_070,272.0,M,238.0,F
p237_343_p363_003,237.0,M,363.0,M
p374_023_p301_190,374.0,M,301.0,F
p306_117_p277_380,306.0,F,277.0,F
p269_202_p301_177,269.0,F,301.0,F
p330_007_p241_190,330.0,F,241.0,M
p316_003_p238_413,316.0,M,238.0,F
p238_176_p306_040,238.0,F,306.0,F
p254_023_p277_097,254.0,M,277.0,F
p256_152_p362_143,256.0,M,362.0,F
p259_378_p307_084,259.0,M,307.0,F
p314_340_p243_286,314.0,F,243.0,M
p260_073_p269_320,260.0,M,269.0,F
p330_123_p307_035,330.0,F,307.0,F
p286_281_p293_380,286.0,M,293.0,F
p345_016_p264_196,345.0,M,264.0,F
p277_022_p255_342,277.0,F,255.0,M
p308_344_p226_099,308.0,F,226.0,M
p333_013_p297_160,333.0,F,297.0,F
p297_020_p294_009,297.0,F,294.0,F
p229_205_p362_016,229.0,F,362.0,F
p272_209_p316_335,272.0,M,316.0,M
p281_003_p227_121,281.0,M,227.0,M
p300_249_p335_314,300.0,F,335.0,F
p265_103_p323_370,265.0,F,323.0,F
p363_015_p271_277,363.0,M,271.0,M
p316_227_p303_055,316.0,M,303.0,F
p260_336_p253_157,260.0,M,253.0,F
p326_340_p254_014,326.0,M,254.0,M
p226_226_p335_060,226.0,M,335.0,F
p287_281_p310_393,287.0,M,310.0,F
