speaker_ID,sex,length,origin_path
238,F,48000,wav16_cut/p238_341.wav
257,F,48001,wav16_cut/p257_358.wav
313,F,48001,wav16_cut/p313_399.wav
341,F,48001,wav16_cut/p341_365.wav
248,F,48002,wav16_cut/p248_116.wav
274,M,48002,wav16_cut/p274_290.wav
233,F,48003,wav16_cut/p233_240.wav
249,F,48003,wav16_cut/p249_121.wav
252,M,48005,wav16_cut/p252_063.wav
259,M,48005,wav16_cut/p259_272.wav
282,F,48005,wav16_cut/p282_265.wav
297,F,48006,wav16_cut/p297_044.wav
254,M,48006,wav16_cut/p254_174.wav
361,F,48007,wav16_cut/p361_264.wav
275,M,48008,wav16_cut/p275_393.wav
306,F,48008,wav16_cut/p306_097.wav
297,F,48010,wav16_cut/p297_351.wav
323,F,48011,wav16_cut/p323_088.wav
294,F,48011,wav16_cut/p294_261.wav
282,F,48011,wav16_cut/p282_289.wav
269,F,48011,wav16_cut/p269_038.wav
228,F,48011,wav16_cut/p228_262.wav
364,M,48012,wav16_cut/p364_294.wav
343,F,48012,wav16_cut/p343_362.wav
333,F,48014,wav16_cut/p333_382.wav
282,F,48014,wav16_cut/p282_230.wav
316,M,48014,wav16_cut/p316_149.wav
240,F,48015,wav16_cut/p240_359.wav
310,F,48015,wav16_cut/p310_335.wav
282,F,48015,wav16_cut/p282_110.wav
312,F,48016,wav16_cut/p312_285.wav
275,M,48017,wav16_cut/p275_335.wav
310,F,48017,wav16_cut/p310_088.wav
274,M,48017,wav16_cut/p274_269.wav
230,F,48019,wav16_cut/p230_029.wav
317,F,48019,wav16_cut/p317_174.wav
272,M,48021,wav16_cut/p272_331.wav
293,F,48021,wav16_cut/p293_250.wav
313,F,48022,wav16_cut/p313_352.wav
249,F,48023,wav16_cut/p249_130.wav
307,F,48024,wav16_cut/p307_365.wav
266,F,48024,wav16_cut/p266_213.wav
247,M,48025,wav16_cut/p247_361.wav
335,F,48025,wav16_cut/p335_145.wav
264,F,48027,wav16_cut/p264_048.wav
265,F,48028,wav16_cut/p265_267.wav
274,M,48030,wav16_cut/p274_408.wav
237,M,48031,wav16_cut/p237_304.wav
246,M,48031,wav16_cut/p246_241.wav
347,M,48032,wav16_cut/p347_045.wav
298,M,48033,wav16_cut/p298_168.wav
313,F,48034,wav16_cut/p313_159.wav
230,F,48035,wav16_cut/p230_285.wav
268,F,48035,wav16_cut/p268_202.wav
241,M,48035,wav16_cut/p241_245.wav
288,F,48036,wav16_cut/p288_215.wav
258,M,48037,wav16_cut/p258_104.wav
271,M,48038,wav16_cut/p271_381.wav
304,M,48038,wav16_cut/p304_358.wav
364,M,48038,wav16_cut/p364_031.wav
329,F,48039,wav16_cut/p329_318.wav
329,F,48039,wav16_cut/p329_353.wav
343,F,48040,wav16_cut/p343_114.wav
281,M,48040,wav16_cut/p281_273.wav
297,F,48041,wav16_cut/p297_110.wav
252,M,48041,wav16_cut/p252_380.wav
263,M,48041,wav16_cut/p263_145.wav
330,F,48042,wav16_cut/p330_162.wav
313,F,48043,wav16_cut/p313_292.wav
351,F,48043,wav16_cut/p351_196.wav
269,F,48043,wav16_cut/p269_365.wav
347,M,48097,wav16_cut/p347_314.wav
277,F,48131,wav16_cut/p277_357.wav
287,M,48132,wav16_cut/p287_339.wav
254,M,48133,wav16_cut/p254_029.wav
298,M,48133,wav16_cut/p298_157.wav
251,M,48134,wav16_cut/p251_166.wav
255,M,48134,wav16_cut/p255_020.wav
286,M,48135,wav16_cut/p286_034.wav
230,F,48135,wav16_cut/p230_377.wav
270,M,48135,wav16_cut/p270_343.wav
269,F,48136,wav16_cut/p269_208.wav
244,F,48136,wav16_cut/p244_397.wav
270,M,48137,wav16_cut/p270_117.wav
347,M,48137,wav16_cut/p347_313.wav
330,F,48137,wav16_cut/p330_152.wav
293,F,48138,wav16_cut/p293_087.wav
275,M,48139,wav16_cut/p275_042.wav
255,M,48139,wav16_cut/p255_360.wav
268,F,48142,wav16_cut/p268_191.wav
268,F,48142,wav16_cut/p268_161.wav
272,M,48142,wav16_cut/p272_192.wav
334,M,48143,wav16_cut/p334_034.wav
329,F,48144,wav16_cut/p329_398.wav
230,F,48144,wav16_cut/p230_107.wav
317,F,48145,wav16_cut/p317_280.wav
226,M,48146,wav16_cut/p226_179.wav
245,M,48147,wav16_cut/p245_357.wav
276,F,48148,wav16_cut/p276_002.wav
364,M,48149,wav16_cut/p364_173.wav
278,M,48150,wav16_cut/p278_307.wav
323,F,48150,wav16_cut/p323_185.wav
341,F,48153,wav16_cut/p341_147.wav
293,F,48154,wav16_cut/p293_290.wav
277,F,48155,wav16_cut/p277_303.wav
247,M,48156,wav16_cut/p247_253.wav
254,M,48157,wav16_cut/p254_334.wav
351,F,48158,wav16_cut/p351_412.wav
233,F,48160,wav16_cut/p233_111.wav
364,M,48160,wav16_cut/p364_114.wav
336,F,48160,wav16_cut/p336_062.wav
271,M,48161,wav16_cut/p271_106.wav
304,M,48162,wav16_cut/p304_080.wav
299,F,48163,wav16_cut/p299_200.wav
313,F,48163,wav16_cut/p313_237.wav
326,M,48163,wav16_cut/p326_285.wav
318,F,48163,wav16_cut/p318_035.wav
316,M,48163,wav16_cut/p316_242.wav
293,F,48164,wav16_cut/p293_222.wav
278,M,48164,wav16_cut/p278_059.wav
278,M,48164,wav16_cut/p278_281.wav
275,M,48166,wav16_cut/p275_179.wav
282,F,48166,wav16_cut/p282_167.wav
362,F,48167,wav16_cut/p362_179.wav
249,F,48168,wav16_cut/p249_210.wav
285,M,48168,wav16_cut/p285_364.wav
263,M,48169,wav16_cut/p263_174.wav
316,M,48169,wav16_cut/p316_238.wav
347,M,48169,wav16_cut/p347_230.wav
234,F,48170,wav16_cut/p234_164.wav
248,F,48171,wav16_cut/p248_350.wav
293,F,48171,wav16_cut/p293_161.wav
300,F,48173,wav16_cut/p300_043.wav
314,F,48173,wav16_cut/p314_376.wav
360,M,48175,wav16_cut/p360_269.wav
302,M,48176,wav16_cut/p302_160.wav
234,F,48178,wav16_cut/p234_249.wav
341,F,48178,wav16_cut/p341_336.wav
260,M,48178,wav16_cut/p260_044.wav
245,M,48179,wav16_cut/p245_135.wav
302,M,48180,wav16_cut/p302_060.wav
252,M,48181,wav16_cut/p252_297.wav
335,F,48182,wav16_cut/p335_164.wav
300,F,48184,wav16_cut/p300_218.wav
316,M,48185,wav16_cut/p316_285.wav
233,F,48186,wav16_cut/p233_096.wav
362,F,48187,wav16_cut/p362_225.wav
254,M,48188,wav16_cut/p254_113.wav
255,M,48190,wav16_cut/p255_111.wav
233,F,48190,wav16_cut/p233_079.wav
261,F,48190,wav16_cut/p261_079.wav
301,F,48191,wav16_cut/p301_209.wav
326,M,48191,wav16_cut/p326_298.wav
315,M,48193,wav16_cut/p315_248.wav
310,F,48194,wav16_cut/p310_147.wav
228,F,48194,wav16_cut/p228_344.wav
315,M,48194,wav16_cut/p315_257.wav
261,F,48195,wav16_cut/p261_281.wav
246,M,48196,wav16_cut/p246_330.wav
314,F,48197,wav16_cut/p314_028.wav
271,M,48197,wav16_cut/p271_247.wav
268,F,48198,wav16_cut/p268_076.wav
240,F,48199,wav16_cut/p240_126.wav
267,F,48199,wav16_cut/p267_252.wav
295,F,48199,wav16_cut/p295_260.wav
301,F,48205,wav16_cut/p301_387.wav
249,F,48205,wav16_cut/p249_054.wav
228,F,48205,wav16_cut/p228_336.wav
253,F,48206,wav16_cut/p253_157.wav
341,F,48206,wav16_cut/p341_113.wav
278,M,48206,wav16_cut/p278_294.wav
301,F,48207,wav16_cut/p301_100.wav
330,F,48207,wav16_cut/p330_112.wav
275,M,48210,wav16_cut/p275_183.wav
243,M,48211,wav16_cut/p243_070.wav
293,F,48212,wav16_cut/p293_225.wav
265,F,48213,wav16_cut/p265_222.wav
293,F,48213,wav16_cut/p293_277.wav
276,F,48214,wav16_cut/p276_078.wav
286,M,48214,wav16_cut/p286_120.wav
232,M,48214,wav16_cut/p232_020.wav
295,F,48214,wav16_cut/p295_171.wav
300,F,48214,wav16_cut/p300_143.wav
345,M,48302,wav16_cut/p345_263.wav
308,F,48303,wav16_cut/p308_183.wav
226,M,48303,wav16_cut/p226_017.wav
268,F,48304,wav16_cut/p268_389.wav
274,M,48304,wav16_cut/p274_452.wav
238,F,48305,wav16_cut/p238_399.wav
252,M,48305,wav16_cut/p252_388.wav
270,M,48306,wav16_cut/p270_416.wav
281,M,48308,wav16_cut/p281_204.wav
237,M,48308,wav16_cut/p237_277.wav
258,M,48310,wav16_cut/p258_255.wav
330,F,48310,wav16_cut/p330_057.wav
330,F,48310,wav16_cut/p330_017.wav
246,M,48310,wav16_cut/p246_102.wav
347,M,48311,wav16_cut/p347_271.wav
300,F,48311,wav16_cut/p300_311.wav
260,M,48311,wav16_cut/p260_239.wav
276,F,48313,wav16_cut/p276_155.wav
244,F,48314,wav16_cut/p244_073.wav
298,M,48314,wav16_cut/p298_315.wav
236,F,48314,wav16_cut/p236_240.wav
226,M,48314,wav16_cut/p226_260.wav
275,M,48316,wav16_cut/p275_088.wav
301,F,48317,wav16_cut/p301_234.wav
